_id,restrictionReason,createdAt
46a221f4-1184-48dd-88f8-eeb91ef78f16,Right-sized multimedia hub,7/4/2010
8954fd2a-43fb-4e5f-bb90-480ec7a0fd71,Down-sized empowering productivity,12/2/2006
c2bc8b07-ec35-44fc-b9ee-10f6ccfdf96a,Cross-group tertiary system engine,2/28/2016
3034fcb2-ddef-45e3-b3a6-cb953d94e999,Open-source disintermediate encryption,1/12/2008
031334e7-1c11-4891-9df3-ec7fc58be8a8,Cross-group scalable moderator,3/23/2000
2203ed4a-faef-4ac8-8f55-74f832b137bb,Multi-lateral tertiary orchestration,1/2/2015
c36205db-de26-49f7-a2b5-1de097f47eb6,Quality-focused transitional success,11/9/2016
1de585e0-81fc-4663-adfe-59d63d28c0cb,Expanded needs-based capability,11/28/2002
3cf98b3d-71af-45cb-bf0b-46b77defb3a4,Synergistic analyzing hardware,3/8/2018
f5b6d093-d8f3-4ac6-8e50-bd2350871ee2,Progressive analyzing protocol,11/5/2010
